"state","district","registered_users"
"maharashtra","nagpur district","1883447"
"punjab","ludhiana district","1883319"
"bihar","patna district","1881439"
"andhra-pradesh","east godavari district","1878769"
"andhra-pradesh","krishna district","1876458"
"tamil-nadu","chengalpattu district","1876163"
"maharashtra","mumbai district","1873643"
"jharkhand","ranchi district","1872419"
"delhi","new delhi district","1871468"
"maharashtra","raigad district","1871153"
"maharashtra","palghar district","1870957"
"andhra-pradesh","tirupati district","1870882"
"andhra-pradesh","chittoor district","1870723"
"andhra-pradesh","prakasam district","1868997"
"west-bengal","murshidabad district","1868610"
"tamil-nadu","coimbatore district","1867655"
"delhi","north west district","1866671"
"tamil-nadu","chennai district","1865001"
"west-bengal","nadia district","1861738"
"tamil-nadu","thiruvallur district","1860992"
"karnataka","belagavi district","1857344"
"rajasthan","jodhpur district","1857340"
"uttar-pradesh","varanasi district","1857307"
"telangana","hyderabad district","1856926"
"west-bengal","hooghly district","1855311"
"gujarat","vadodara district","1851909"
"gujarat","ahmadabad district","1848860"
"uttar-pradesh","prayagraj district","1847496"
"telangana","medchal malkajgiri district","1845599"
"maharashtra","ahmednagar district","1844168"
"andhra-pradesh","guntur district","1843237"
"rajasthan","alwar district","1843138"
"gujarat","vadodara district","1840568"
"haryana","faridabad district","1837594"
"maharashtra","kolhapur district","1835624"
"maharashtra","thane district","1834051"
"maharashtra","kolhapur district","1832641"
"andhra-pradesh","ysr district","1829864"
"karnataka","mysuru district","1828718"
"west-bengal","south twenty four parganas district","1828512"
"uttar-pradesh","agra district","1827812"
"odisha","khordha district","1827307"
"andhra-pradesh","anantapur district","1827094"
"kerala","ernakulam district","1826879"
"telangana","rangareddy district","1826019"
"andhra-pradesh","kurnool district","1825280"
"west-bengal","kolkata district","1823074"
"madhya-pradesh","bhopal district","1820625"
"uttar-pradesh","kanpur nagar district","1819802"
"delhi","central district","1815323"
"uttar-pradesh","lucknow district","1813076"
"andhra-pradesh","spsr nellore district","1811781"
"maharashtra","solapur district","1811044"
"haryana","gurugram district","1809777"
"punjab","ludhiana district","1807587"
"west-bengal","howrah district","1807232"
"andhra-pradesh","west godavari district","1805967"
"delhi","south east delhi district","1804123"
"delhi","new delhi district","1803952"
"delhi","north west district","1798636"
"west-bengal","nadia district","1798554"
"rajasthan","jodhpur district","1793526"
"andhra-pradesh","prakasam district","1792637"
"maharashtra","raigad district","1791713"
"tamil-nadu","chengalpattu district","1791530"
"maharashtra","jalgaon district","1790332"
"west-bengal","north twenty four parganas district","1789973"
"gujarat","vadodara district","1789238"
"west-bengal","hooghly district","1787671"
"maharashtra","aurangabad district","1786190"
"uttar-pradesh","varanasi district","1786176"
"delhi","west district","1785309"
"karnataka","belagavi district","1785167"
"maharashtra","palghar district","1781265"
"west-bengal","murshidabad district","1778470"
"tamil-nadu","coimbatore district","1775760"
"chhattisgarh","raipur district","1773369"
"uttar-pradesh","ghaziabad district","1773332"
"gujarat","surat district","1772703"
"maharashtra","kolhapur district","1770692"
"maharashtra","mumbai district","1770325"
"madhya-pradesh","indore district","1769869"
"andhra-pradesh","ysr district","1764648"
"andhra-pradesh","visakhapatnam district","1763581"
"uttar-pradesh","prayagraj district","1763014"
"karnataka","mysuru district","1762422"
"maharashtra","nagpur district","1761562"
"kerala","ernakulam district","1760620"
"uttar-pradesh","agra district","1757237"
"uttar-pradesh","gautam buddha nagar district","1756163"
"rajasthan","alwar district","1755844"
"delhi","central district","1754227"
"uttar-pradesh","gorakhpur district","1752309"
"maharashtra","nashik district","1752191"
"bihar","patna district","1752007"
"andhra-pradesh","chittoor district","1751420"
"uttar-pradesh","kanpur nagar district","1751281"
"maharashtra","ahmednagar district","1749682"
"andhra-pradesh","guntur district","1749346"
"andhra-pradesh","east godavari district","1746280"
"west-bengal","south twenty four parganas district","1745822"
"delhi","new delhi district","1744588"
"tamil-nadu","thiruvallur district","1744228"
"andhra-pradesh","krishna district","1744028"
"haryana","faridabad district","1743764"
"andhra-pradesh","spsr nellore district","1740294"
"west-bengal","howrah district","1737851"
"west-bengal","nadia district","1737326"
"rajasthan","jaipur district","1733893"
"maharashtra","solapur district","1733556"
"tamil-nadu","chennai district","1731527"
"delhi","north west district","1731494"
"tamil-nadu","tiruppur district","1731021"
"andhra-pradesh","kurnool district","1729513"
"madhya-pradesh","bhopal district","1729248"
"punjab","ludhiana district","1728119"
"delhi","north district","1727450"
"maharashtra","jalgaon district","1726595"
"odisha","khordha district","1725313"
"rajasthan","jodhpur district","1723274"
"west-bengal","purba medinipur district","1721598"
"gujarat","vadodara district","1721431"
"maharashtra","jalgaon district","1720952"
"andhra-pradesh","prakasam district","1719910"
"bihar","purbi champaran district","1719763"
"andhra-pradesh","anantapur district","1719437"
"chhattisgarh","raipur district","1718625"
"uttar-pradesh","varanasi district","1718122"
"west-bengal","hooghly district","1717832"
"west-bengal","purba medinipur district","1717074"
"bihar","muzaffarpur district","1716695"
"telangana","medchal malkajgiri district","1714832"
"delhi","south east delhi district","1714507"
"andhra-pradesh","west godavari district","1714357"
"andhra-pradesh","guntur district","1712940"
"maharashtra","raigad district","1710945"
"karnataka","belagavi district","1709145"
"delhi","north district","1707431"
"tamil-nadu","chengalpattu district","1704864"
"maharashtra","kolhapur district","1703029"
"haryana","gurugram district","1700505"
"west-bengal","kolkata district","1700474"
"tamil-nadu","kancheepuram district","1698969"
"tamil-nadu","tiruvallur district","1698495"
"karnataka","mysuru district","1698270"
"west-bengal","murshidabad district","1696729"
"uttar-pradesh","agra district","1696452"
"andhra-pradesh","guntur district","1695537"
"andhra-pradesh","ysr district","1694843"
"delhi","central district","1690547"
"maharashtra","palghar district","1689875"
"kerala","ernakulam district","1687311"
"tamil-nadu","coimbatore district","1687096"
"delhi","north district","1686282"
"uttar-pradesh","gorakhpur district","1685478"
"uttar-pradesh","lucknow district","1684510"
"delhi","new delhi district","1682305"
"tamil-nadu","tiruppur district","1682241"
"uttar-pradesh","prayagraj district","1678668"
"delhi","new delhi district","1676758"
"uttar-pradesh","kanpur nagar district","1673173"
"maharashtra","aurangabad district","1671665"
"west-bengal","nadia district","1671140"
"west-bengal","howrah district","1669556"
"delhi","west district","1666267"
"andhra-pradesh","spsr nellore district","1663684"
"rajasthan","alwar district","1661785"
"maharashtra","mumbai district","1659663"
"gujarat","vadodara district","1658232"
"west-bengal","purba medinipur district","1656767"
"gujarat","ahmadabad district","1656341"
"uttar-pradesh","gautam buddha nagar district","1656331"
"west-bengal","purba medinipur district","1655920"
"maharashtra","jalgaon district","1655767"
"west-bengal","south twenty four parganas district","1655743"
"delhi","north west district","1655730"
"rajasthan","jodhpur district","1654436"
"haryana","faridabad district","1654074"
"tamil-nadu","tiruvallur district","1651599"
"telangana","rangareddy district","1651300"
"west-bengal","hooghly district","1651210"
"maharashtra","solapur district","1649511"
"uttar-pradesh","ghaziabad district","1647330"
"maharashtra","ahmednagar district","1646991"
"madhya-pradesh","indore district","1645564"
"punjab","ludhiana district","1644780"
"delhi","north district","1644670"
"jharkhand","ranchi district","1643401"
"andhra-pradesh","prakasam district","1642503"
"uttar-pradesh","meerut district","1641966"
"uttar-pradesh","varanasi district","1641943"
"maharashtra","kolhapur district","1639701"
"bihar","muzaffarpur district","1639344"
"west-bengal","north twenty four parganas district","1638605"
"telangana","hyderabad district","1638436"
"maharashtra","nagpur district","1637270"
"tamil-nadu","kancheepuram district","1636613"
"karnataka","belagavi district","1635855"
"delhi","new delhi district","1633520"
"madhya-pradesh","bhopal district","1633266"
"uttarakhand","dehradun district","1632341"
"andhra-pradesh","chittoor district","1631331"
"uttar-pradesh","agra district","1630258"
"delhi","central district","1629248"
"andhra-pradesh","ysr district","1628595"
"bihar","purbi champaran district","1628560"
"andhra-pradesh","kurnool district","1628242"
"delhi","south east delhi district","1628157"
"karnataka","mysuru district","1627802"
"tamil-nadu","thiruvallur district","1626966"
"maharashtra","raigad district","1626771"
"andhra-pradesh","west godavari district","1626039"
"bihar","patna district","1625305"
"gujarat","surat district","1624077"
"delhi","new delhi district","1622600"
"tamil-nadu","chengalpattu district","1621177"
"andhra-pradesh","visakhapatnam district","1620235"
"odisha","khordha district","1618171"
"kerala","ernakulam district","1611052"
"west-bengal","howrah district","1608895"
"west-bengal","murshidabad district","1608797"
"andhra-pradesh","anantapur district","1606735"
"west-bengal","nadia district","1603527"
"maharashtra","nashik district","1602650"
"andhra-pradesh","east godavari district","1601940"
"maharashtra","palghar district","1601518"
"delhi","south west district","1599704"
"andhra-pradesh","krishna district","1599289"
"maharashtra","satara district","1595400"
"tamil-nadu","coimbatore district","1594082"
"maharashtra","pune district","1592293"
"uttar-pradesh","kanpur nagar district","1592126"
"uttar-pradesh","meerut district","1591722"
"uttar-pradesh","prayagraj district","1590032"
"west-bengal","purba medinipur district","1589203"
"andhra-pradesh","spsr nellore district","1588875"
"maharashtra","jalgaon district","1588430"
"uttarakhand","dehradun district","1587955"
"gujarat","vadodara district","1587831"
"jharkhand","ranchi district","1584765"
"rajasthan","jodhpur district","1583620"
"delhi","north district","1583005"
"west-bengal","hooghly district","1579023"
"maharashtra","mumbai suburban district","1578487"
"uttarakhand","dehradun district","1575668"
"delhi","north west district","1575473"
"tamil-nadu","kancheepuram district","1574315"
"haryana","gurugram district","1574240"
"west-bengal","kolkata district","1573291"
"telangana","medchal malkajgiri district","1572320"
"maharashtra","kolhapur district","1571012"
