"state","district","registered_users"
"maharashtra","mumbai suburban district","1901210"
"kerala","ernakulam district","1897604"
"uttar-pradesh","agra district","1897322"
"uttar-pradesh","ghaziabad district","1895314"
"maharashtra","aurangabad district","1894797"
"delhi","south east delhi district","1894776"
"west-bengal","hooghly district","1893901"
"andhra-pradesh","west godavari district","1893310"
"maharashtra","solapur district","1892509"
"madhya-pradesh","indore district","1892259"
"uttar-pradesh","kanpur nagar district","1892032"
"karnataka","mysuru district","1890549"
"gujarat","vadodara district","1888611"
"maharashtra","kolhapur district","1887856"
"andhra-pradesh","spsr nellore district","1887005"
"uttar-pradesh","gautam buddha nagar district","1885370"
"delhi","central district","1884700"
